id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22514958,Cond Lanai -Apartamento de Luxo na Barra da Tijuca,36211478,Gabriela,,Barra da Tijuca,-2.301.424,-4.331.116,Entire home/apt,1257,5,20,2022-12-27,0.34,1,103
777042964427108417,Quarto confortável p casal em apto vista mar Urca,122242738,Felipe,,Botafogo,-229.522,-4.317.438,Private room,318,3,0,,,2,357
11351275,"Leblon, praia,alto nivel.",59445879,Carlos,,Leblon,-2.298.683,-4.323.101,Entire home/apt,1067,15,0,,,1,365
54227584,21Flat com vista a praia na Barra.,315740743,Maicon,,Barra da Tijuca,-2.300.561,-4.334.199,Private room,583,3,4,2022-10-25,0.39,20,90
791180851750382247,Vista deslumbrante,238604267,Claudia,,Barra da Tijuca,-2.300.826.371.661.170,-4.334.449.168.762.080,Entire home/apt,957,4,0,,,18,365
735471039809809334,Aconchegante Cobertura,15811328,Silvia,,Recreio dos Bandeirantes,-2.300.585.375.358.590,-43.441.410.617.307.400,Entire home/apt,560,5,0,,,1,86
35535194,Nice bedroom with back garden and hammock,13751132,Ludmila,,Santa Teresa,-2.292.838,-4.319.458,Private room,100,2,13,2021-01-29,0.30,2,353
786441593771259567,Quarto simples,248645237,Janaina,,Centro,-2.289.914.154.162.530,-4.318.122.554.303.180,Shared room,400,1,0,,,3,365
740075556499222495,Quarto próximo a rede Globo,476812800,Lucas,,Jacarepaguá,-2.296.423,-4.340.502,Private room,500,1,1,2022-11-05,0.55,1,365
14731406,Aluga-se quarto em casa vila,85985700,Vania,,Botafogo,-22.955.046,-43.182.224,Private room,70,1,2,2022-12-11,0.55,3,343
581765367464228862,Casa na praia do Recreio Rj.,47584281,Renato,,Recreio dos Bandeirantes,-230.064,-4.349.237,Entire home/apt,999,1,0,,,118,363
39137681,Alugo Quarto no Reserva da praia,300199107,Everton,,Vargem Pequena,-2.298.467,-4.346.372,Shared room,280,1,0,,,1,179
759881224028026680,Lindo apartamento com vista privilegiada e piscina,107117435,Laury,,Barra da Tijuca,-2.300.099,-4.339.392,Entire home/apt,700,5,0,,,1,360
724024660405847074,apartamento aconchegante e bem localizado,480999055,Marcele,,Flamengo,-2.293.991,-4.317.288,Entire home/apt,210,2,0,,,1,242
649052950468551361,Apartamento em lugar bucólico no coração do Leblon,84579090,Leonardo,,Leblon,-22.979.938,-432.205.372,Entire home/apt,829,2,3,2022-12-11,0.77,1,354
791156305545206952,Apartamento silencioso,395763367,Edwaldo Silva,,Recreio dos Bandeirantes,-230.200.405,-434.665.892,Private room,280,1,0,,,1,364
52170068,Casa em condomínio fechado/Praia a pé,167247194,Katia,,Barra da Tijuca,-2.300.694,-4.332.018,Entire home/apt,1593,3,11,2022-07-31,01.06,1,303
